DestName,subtype,rating,lang,textwithrating1,textwithrating2,textwithrating3,textwithrating4,textwithrating5,webUrl,longitude,latitude,phone,address,website,numberOfReviews
Dive Destination,Scuba & Snorkeling,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d27975831-Reviews-Dive_Destination-Jeddah_Makkah_Province.html,39.073833,21.761454,+966 56 629 1160,"4716 Prince Abdulmajeed Al Lulu, Jeddah 23821 Saudi Arabia",https://www.instagram.com/divedestination.sa,0
Archinations,City Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28214356-Reviews-Archinations-Riyadh_Riyadh_Province.html,,,+966 50 889 6555,"2914 King Abdullah Financial District Area3. Al Aqeeq Dist. Building 305, Riyadh 13519 Saudi Arabia",https://archinations.com,0
Manf,Shopping Malls,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28045672-Reviews-Manf-Riyadh_Riyadh_Province.html,46.72185,24.68773,+966 55 221 5574,"Gallery Blu, Riyadh Saudi Arabia",https://manf-riyadh.com/,0
Masaraty Global,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28136541-Reviews-Masaraty_Global-Jeddah_Makkah_Province.html,39.18624,21.49012,+966 12 672 2228,Jeddah Saudi Arabia,http://www.masaraty.sa,0
Golden Paper,Gift & Specialty Shops,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g21366849-d28265263-Reviews-Golden_Paper-Al_Nahdah_Sabya_Jizan_Province.html,,,,"Prince Bandar Ibn Abd Al Aziz, Sabya 13321 Saudi Arabia",https://www.instagram.com/goldenpaper.sa/,0
Qamar Tourism,Nature & Wildlife Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28100386-Reviews-Qamar_Tourism-Riyadh_Riyadh_Province.html,50.204693,26.262756,+966 55 546 8812,Riyadh Saudi Arabia,https://www.instagram.com/tourismqamar1/,0
The Box Escape Experience,Game & Entertainment Centers,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28153528-Reviews-The_Box_Escape_Experience-Riyadh_Riyadh_Province.html,46.598557,24.780615,,"Al Imam Saud Ibn Faysal Rd, Al Malqa, Riyadh 13321 Saudi Arabia",,0
Hinat tours,"4WD, ATV & Off-Road Tours",,,,,,,,https://www.tripadvisor.com/Attraction_Review-g1802184-d28120022-Reviews-Hinat_tours-AlUla_Al_Madinah_Province.html,,,+966 50 900 8868,"Alryzigyh 7498, AlUla 43561 Saudi Arabia",http://www.hinattour.com,0
Abdulaziz Alhawsa | WeGuide,City Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28123378-Reviews-Abdulaziz_Alhawsa_WeGuide-Riyadh_Riyadh_Province.html,,,,"Riyadh City, Riyadh 12211 Saudi Arabia",,0
Roshen Spa,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28128858-Reviews-Roshen_Spa-Riyadh_Riyadh_Province.html,42.503323,18.221708,+966 55 561 8050,"Prince Abdulaziz Ibn Musaid Ibn Jalawi St, Riyadh 12221 Saudi Arabia",https://www.roshenspa.com/,0
Modran Sofa,Gift & Specialty Shops,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28191840-Reviews-Modran_Sofa-Riyadh_Riyadh_Province.html,45.55,23.05,+966 54 880 3945,"Hisham Ibn Abd Al Malek 3792 Street, Riyadh 12271 Saudi Arabia",https://www.instagram.com/modran_sofa_in_riyadh_945/,0
Umrah Taxi Services,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28041169-Reviews-Umrah_Taxi_Services-Jeddah_Makkah_Province.html,,,+966 59 529 1241,"Makkah City, Jeddah 21911 Saudi Arabia",https://harmainumrahtransport.com/,0
Areej Al-Alam for travel and tourism,Multi-day Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28264291-Reviews-Areej_Al_Alam_for_travel_and_tourism-Riyadh_Riyadh_Province.html,,,+966 55 802 3037,"Alnozha District Riyadh Hail, Riyadh 12741 Saudi Arabia",https://areejalalam.com/about-us/,0
Starzone Billiards Club,Sports Complexes,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28152788-Reviews-Starzone_Billiards_Club-Riyadh_Riyadh_Province.html,46.68177,24.754374,,"Al Imam Saud Bin Abdulaziz Branch Road 2285 Al Imam Saud Ibn Abdul Aziz Branch Rd, Al Mursilat, Riyadh 12463, Riyadh 12382 Saudi Arabia",,0
Bolos Alley,Bowling Alleys,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28193089-Reviews-Bolos_Alley-Jeddah_Makkah_Province.html,,,+966 56 710 8090,"7864 Prince Abdullah Alfaisal St, Jeddah 23815 Saudi Arabia",https://www.instagram.com/bolosalley?igsh=ymhxbza3cjcxbxhz,0
King Salman Park,Parks,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d24096125-Reviews-King_Salman_Park-Riyadh_Riyadh_Province.html,46.69662,24.676386,,"Banban Airport Road, Riyadh 11564 Saudi Arabia",,0
Safari Way,"4WD, ATV & Off-Road Tours",,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28235010-Reviews-Safari_Way-Jeddah_Makkah_Province.html,35.67415,27.914465,+966 56 679 7312,Jeddah Saudi Arabia,https://www.instagram.com/the_safari_way,0
SAMA GIFTS,Gift & Specialty Shops,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d27968688-Reviews-SAMA_GIFTS-Jeddah_Makkah_Province.html,39.1846,21.474775,+966 50 870 0086,"7716 Isson Tree To, Jeddah 23221 Saudi Arabia",https://www.instagram.com/samagifts.sa/,0
Riyadh Trips,Day Trips,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g23318736-d27916257-Reviews-Riyadh_Trips-Al_Soudah_Asir_Province.html,,,+966 56 223 4171,"king Abdulaziz road, Al Soudah 13322 Saudi Arabia",http://www.riyadhtrips.com,0
hello chauffeur ksa,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d27994558-Reviews-Hello_chauffeur_ksa-Jeddah_Makkah_Province.html,,,+966 53 901 9931,"Al rehab Business park first floor hello chauffeur ksa, Jeddah 122001 Saudi Arabia",http://www.hellochauffeurksa.com,0
Riyadh Tracks,Multi-day Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g23204656-d28075930-Reviews-Riyadh_Tracks-Ad_Diriyah_Riyadh_Province.html,,,+966 53 370 1010,"Sados Sados Center, Ad Diriyah 00966 Saudi Arabia",http://www.riyadhtracks.com,0
Eforea Spa,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28013106-Reviews-Eforea_Spa-Riyadh_Riyadh_Province.html,46.624153,24.809298,+966 58 260 5747,"8508 King Fahad Road - Olaya District, Riyadh 12333 Saudi Arabia, Riyadh Saudi Arabia",,0
Scuva Diving,Boat Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28525612-Reviews-Scuva_Diving-Jeddah_Makkah_Province.html,39.08612,21.710432,+966 56 789 5168,Jeddah Saudi Arabia,https://www.instagram.com/scu.va?igsh=ejhnbnhvzwf4adc4,0
Mansour Jewelery,Gift & Specialty Shops,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g1802184-d28099106-Reviews-Mansour_Jewelery-AlUla_Al_Madinah_Province.html,37.915005,26.626102,+966 56 470 6772,AlUla 43562 Saudi Arabia,https://www.mansour.com.sa/,0
Mahmoud Moustafa,"Bar, Club & Pub Tours",,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28145068-Reviews-Mahmoud_Moustafa-Jeddah_Makkah_Province.html,,,,"Al-saqat St 25b alsafa dist, Jeddah 22241 Saudi Arabia",,0
Umrah taxis KSA,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293993-d28652561-Reviews-Umrah_taxis_KSA-Mecca_Makkah_Province.html,,,+966 56 570 3048,"Itab ibn Usaid Street, Batha Qurayish Makkah Saudi Arabia, Mecca 24211 Saudi Arabia",http://umrahtaxisksa.com,0
Saj Spa,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28128259-Reviews-Saj_Spa-Riyadh_Riyadh_Province.html,46.72185,24.68773,,"Imam Saud Bin Abdulaziz Bin Muhammad Road Saj Spa, Riyadh 12262 Saudi Arabia",,0
Arabian Camp,Hiking & Camping Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g295419-d28128799-Reviews-Arabian_Camp-Jeddah_Makkah_Province.html,39.18624,21.49012,+966 50 566 4137,Jeddah Saudi Arabia,https://arabiancamp.sa/,0
Holiest Journey Umrah and Hajj Transportation Services,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293993-d28257290-Reviews-Holiest_Journey_Umrah_and_Hajj_Transportation_Services-Mecca_Makkah_Province.html,,,+966 59 447 7359,"7896 Mecca Al Mokrama 24432-5370 31, Mecca 24432 Saudi Arabia",https://holiestjourney.com/,0
Etlaala Travel and Tourism,Multi-day Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293993-d27689967-Reviews-Etlaala_Travel_and_Tourism-Mecca_Makkah_Province.html,,,+966 9200 29967,"3251 Aban Bn Saeid Radi Allah Eanh, Mecca 24211 Saudi Arabia",http://www.Etlaala.com,0
Infinity Gym,Health/Fitness Clubs & Gyms,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g672722-d28117069-Reviews-Infinity_Gym-Al_Khafji_Eastern_Province.html,48.47588,28.433311,+966 55 280 4777,"Prince Sultan Rd Abd Allah Ibn Al-Walid, Al Khafji 39256 Saudi Arabia",https://infinitygymkj.com/,0
Aurora Spa,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28045307-Reviews-Aurora_Spa-Riyadh_Riyadh_Province.html,46.66526,24.828447,+966 11 520 7956,"Anas Ibn Malik Rd An Narjis, Riyadh 13323 Saudi Arabia",https://auroraspa.zenoti.com/webstorenew/services/8ce2f8d6-53c0-4bcc-9495-a33ea454b31e?booking_source=booknow&booking_medium=instagram,0
Saudi Arabia eSIM from 0.5GB daily to 20GB 30 Days,Gear Rentals,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g298551-d28205239-Reviews-Saudi_Arabia_eSIM_from_0_5GB_daily_to_20GB_30_Days-Medina_Al_Madinah_Province.html,,,+65 8168 4679,"International Plaza, Medina 079903 Saudi Arabia",https://www.frewie.com/,0
Mohammed,Multi-day Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28667944-Reviews-Mohammed-Riyadh_Riyadh_Province.html,,,,"Al Yarmuk Dist, Riyadh 58872 Saudi Arabia",https://www.instagram.com/saudi.tourguide?igsh=MWhwaDZkM3NwdzBubg==,0
Fantakah Theater,Comedy Clubs,5,en,,,,,"Amazing theater, host great shows, offer classes and jamming sessions, always have a blast going there. They offer Improv comedy shows, musical nights and Karaoke.. well maintained by a passionate team of Saudi talents.. don’t miss the chance to pass by !",https://www.tripadvisor.com/Attraction_Review-g298545-d28658257-Reviews-Fantakah_Theater-Al_Khobar_Eastern_Province.html,,,,"7871 King Faisal Ibn Abd Al Aziz Al Sadafah, 2983, Al Khobar 34216 Saudi Arabia",http://fantakah.com/,1
Almundasih,Points of Interest & Landmarks,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g14951829-d28665041-Reviews-Almundasih-Mahd_Al_Thahab_Al_Madinah_Province.html,39.247643,21.473366,+966 55 974 7265,Mahd Al Thahab 44651 Saudi Arabia,https://www.facebook.com/profile.php?id=61566142854190&mibextid=zbwkwl,0
Eforea Spa & Health Club,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28598639-Reviews-Eforea_Spa_Health_Club-Riyadh_Riyadh_Province.html,46.67227,24.710043,+966 58 260 5747,"8508 King Fahd Branch Rd, 3817 Al Olaya, Riyadh, 12333, Saudi Arab, Riyadh 12333 Saudi Arabia",,0
HaniTravel,Bike Tours,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g3473992-d28657680-Reviews-HaniTravel-Tarout_Eastern_Province.html,,,+966 59 008 0120,Tarout Saudi Arabia,https://haniest.com/,0
Asia Spa,Spas,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28661775-Reviews-Asia_Spa-Riyadh_Riyadh_Province.html,,,9.66E+11,"Said Ibn Zayd Rd Opposite Al Rajhi Bank, Riyadh 13244 Saudi Arabia",https://www.facebook.com/profile.php?id=100054656940159,0
Tours in Tabouck,Day Trips,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g679581-d28437300-Reviews-Tours_in_Tabouck-Tabouk_Tabuk_Province.html,,,9.67E+11,"Al Madinah Al Munawarah Road Building No. 8899, Tabouk 23334 Saudi Arabia",https://goldendestination.net/,0
Haramain Umrah Taxi Service,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g298551-d28526294-Reviews-Haramain_Umrah_Taxi_Service-Medina_Al_Madinah_Province.html,46.69372,24.8054,+966 57 784 2926,Medina Saudi Arabia,https://www.facebook.com/haramainumrahtaxiservices/,0
شيخة روحانية في الرياض,Game & Entertainment Centers,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28663214-Reviews-Riyadh_Riyadh_Province.html,,,+212 764-432078,Riyadh Saudi Arabia,https://www.facebook.com/profile.php?id=100041694677677,0
Almundasih,Points of Interest & Landmarks,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g14951829-d28665043-Reviews-Almundasih-Mahd_Al_Thahab_Al_Madinah_Province.html,43.4189,18.86852,+966 55 974 7265,Mahd Al Thahab 44651 Saudi Arabia,https://www.facebook.com/profile.php?id=61566142854190&mibextid=zbwkwl,0
ذو الوشاح للحلاقة فرع الياسمين,Hair & Nail Salons,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28649522-Reviews-Riyadh_Riyadh_Province.html,,,+966 50 987 0581,"King Abdul Aziz Branch Rd, Riyadh 13326 Saudi Arabia",https://www.instagram.com/zo.alweshah/,0
Makkah,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293993-d28659910-Reviews-Makkah-Mecca_Makkah_Province.html,39.82563,21.42664,+966 50 819 7938,"Al Jawhara Road Al Aziziyah, Mecca 24247 Saudi Arabia",http://www.taxibusiness.com,0
kids4cut,Hair & Nail Salons,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g27715476-d28652560-Reviews-Kids4cut-Al_Husima_Al_Ahsa_Eastern_Province.html,49.561905,25.59943,,"Central Al-Oyoun, opposite Riyad Bank, Al Husima, Al Ahsa 36311 Saudi Arabia",https://www.tiktok.com/@kids4cut?_r=1&_d=e145iih7life77&sec_uid=MS4wLjABAAAAMP_LIv93wZ1hLTtw2YavN0YQ0X-c2PBQdrxiN5slQpKlhrOqqntyBJAhvSxlmFK1&share_author_id=6700088758886368261&sharer_language=ar&source=h5_m&u_code=d6gl7a0kiah14k&timestamp=1728316404&user_id=6700088758886368261&sec_user_id=MS4wLjABAAAAMP_LIv93wZ1hLTtw2YavN0YQ0X-c2PBQdrxiN5slQpKlhrOqqntyBJAhvSxlmFK1&utm_source=copy&utm_campaign=client_share&utm_medium=android&share_iid=7421966438444123911&share_link_id=d21082df-4048-4205-88e2-c9d8cf724585&share_app_id=1233&ugbiz_name=ACCOUNT&ug_btm=b4116%2Cb0229&social_share_type=5&enable_checksum=1,0
Barber Child's Interest In Haircut,Hair & Nail Salons,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g27715476-d28647930-Reviews-Barber_Child_s_Interest_In_Haircut-Al_Husima_Al_Ahsa_Eastern_Province.html,,,+966 54 414 9243,"Opposite Riyadh Bank, Al Husima, Al Ahsa 36311 Saudi Arabia",https://www.instagram.com/kids4cut,0
Golden Paper,Gift & Specialty Shops,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293995-d28265654-Reviews-Golden_Paper-Riyadh_Riyadh_Province.html,,,+966 54 341 3993,"Western Ring Road, Riyadh 12993 Saudi Arabia",https://www.instagram.com/goldenpaper.sa/,0
Al Muhafiz Cabs,Taxis & Shuttles,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g293993-d28011808-Reviews-Al_Muhafiz_Cabs-Mecca_Makkah_Province.html,39.98054,21.490719,+966 59 529 1241,"An Naseem Makkah, Mecca 24236 Saudi Arabia",https://almuhafizcabs.com/,0
Kid Care Barber,Hair & Nail Salons,,,,,,,,https://www.tripadvisor.com/Attraction_Review-g27715476-d28651455-Reviews-Kid_Care_Barber-Al_Husima_Al_Ahsa_Eastern_Province.html,,,+966 54 414 9243,"Opposite Riyadh Bank, Al Husima, Al Ahsa 36311 Saudi Arabia",https://www.instagram.com/kids4cut,0
‪Elyzee‬,منتجعات صحية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d4536756-Reviews-Elyzee-Riyadh_Riyadh_Province.html,,,4803536,"‪Takssy road‬, الرياض المملكة العربية السعودية",,0
‪Mosary Arena‬,مراكز ترفيه وألعاب,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d15656697-Reviews-Mosary_Arena-Riyadh_Riyadh_Province.html,46.65142,24.85139,+966 9200 09066,"‪Abi Bakr As Siddiq Rd‬, الرياض 13316 المملكة العربية السعودية",http://www.ozlounge.com/mosary/all,0
"‪PROFi DRIVER Jeddah, Saudi Arabia, Middle East‬",سيارات أجرة وحافلات نقل,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d21131820-Reviews-PROFi_DRIVER_Jeddah_Saudi_Arabia_Middle_East-Jeddah_Makkah_Province.html,,,+33 7 67 88 70 88,"‪10 Rue de Penthièvre‬, جدة 75008 المملكة العربية السعودية",https://www.profi-driver.com/,0
,جولات في المدينة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d25428158-Reviews-Edge_of_the_World-Riyadh_Riyadh_Province.html,46.214108,24.988186,+966 53 370 1010,الرياض 00966 المملكة العربية السعودية,http://www.riyadhtracks.com,5
,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293993-d27186548-Reviews-UMRAH_SERVICES-Mecca_Makkah_Province.html,,,+1 619-714-9608,"‪MISFILLAH MECCA‬, مكة المكرمة 24231 المملكة العربية السعودية",http://echannelmanager.com,1
‪mrzai group‬,رحلات جوية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d15871349-Reviews-Mrzai_group-Riyadh_Riyadh_Province.html,46.68907,24.71984,+966 54 222 2009,"‪Alurouba st‬, الرياض 12252 المملكة العربية السعودية",http://mrzai.com/page/8,0
,سيارات أجرة وحافلات نقل,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d27411654-Reviews-Golden_destination-Jeddah_Makkah_Province.html,,,9.67E+11,"‪AlMadinah ALMunawara Road,2100 Azizyah District‬, جدة 22230 المملكة العربية السعودية",https://goldendestination.net/,1
‪Khaled Took‬,جولات في الطرق الوعرة ومركبات التضاريس الوعرة وسيارات الدفع الرباعي,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g298550-d15220262-Reviews-Khaled_Took-Khamis_Mushait_Asir_Province.html,42.74904,18.31457,+966 55 404 1828,"‪P.o Box 15135‬, خميس مشيط 61961 المملكة العربية السعودية",http://www.khaledtook.com,0
‪Prashant P‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d17583268-Reviews-Prashant_P-Jeddah_Makkah_Province.html,,,,جدة المملكة العربية السعودية,,0
‪Midyaf‬,الإبحار بالمظلة والطيران المظلي,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d16857633-Reviews-Midyaf-Jeddah_Makkah_Province.html,,,+966 12 692 9434,"‪Madinah Road‬, جدة 21332 المملكة العربية السعودية",http://www.midyaf.com,0
‪Click Clean‬,إيجارات ورحلات بدون مرشد,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d16874265-Reviews-Click_Clean-Riyadh_Riyadh_Province.html,46.68293,24.68762,+966 11 461 2382,"‪Olaya‬, الرياض 11555 المملكة العربية السعودية",http://www.clickclean.net,0
‪Mishal Alshowair‬,جولات الطعام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d17555412-Reviews-Mishal_Alshowair-Riyadh_Riyadh_Province.html,,,,الرياض المملكة العربية السعودية,,0
‪Arwa Fahad‬,صفوف طهي,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d17582789-Reviews-Arwa_Fahad-Riyadh_Riyadh_Province.html,,,,الرياض المملكة العربية السعودية,,0
‪GHANNAM TOURS‬,جولات ��عدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d16733143-Reviews-GHANNAM_TOURS-Riyadh_Riyadh_Province.html,,,+966 50 642 4007,"‪Pobox 94761‬, الرياض 11614 المملكة العربية السعودية",http://www.tours-gate.com,0
لعبة الهروب,ألعاب الهروب من الغرفة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d15610348-Reviews-Escaping_Game-Jeddah_Makkah_Province.html,39.13202,21.63727,+966 56 910 2095,"طريق الأمير سلطان, جدة المملكة العربية السعودية",,0
سكيب بلان,ألعاب الهروب من الغرفة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g298551-d17653903-Reviews-Escale_plan-Medina_Al_Madinah_Province.html,39.647602,24.474573,+966 54 044 8875,المدينة المنورة المملكة العربية السعودية,http://www.escape-p.com,0
‪Zmakan Gift Shop‬,جولات تسوق,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d16694524-Reviews-Zmakan_Gift_Shop-Jeddah_Makkah_Province.html,39.11192,21.62818,+966 54 497 0070,"‪King Abdul Aziz Road‬ Red Sea Mall, جدة 23612 المملكة العربية السعودية",http://www.zmakan.online,0
‪Sara International Travel‬,الرحلات النهارية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d16900849-Reviews-Sara_International_Travel-Jeddah_Makkah_Province.html,,,718-848-1222,جدة المملكة العربية السعودية,http://www.sarainternationaltravel.com/,0
‪Al manahil‬,نوادٍ صحية وصالات اللياقة البدنية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d17653920-Reviews-Al_manahil-Riyadh_Riyadh_Province.html,46.83615,24.68948,+966 11 488 1069,"‪Ibn Zahr Street‬, الرياض المملكة العربية السعودية",http://www.almanahil.com.sa/,0
‪Riyadh Key‬,رحلات خاصة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d17740615-Reviews-Riyadh_Key-Riyadh_Riyadh_Province.html,,,,الرياض المملكة العربية السعودية,,0
‪Fahad Aljobaili‬,جولات في المدينة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d18892109-Reviews-Fahad_Aljobaili-Riyadh_Riyadh_Province.html,,,,الرياض المملكة العربية السعودية,,0
‪Heathrow Travel Centre‬,جولات في المدينة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293993-d17351175-Reviews-Heathrow_Travel_Centre-Mecca_Makkah_Province.html,39.19691,21.47258,+44 20 7183 3112,"‪90 High Street Harlington‬, مكة المكرمة المملكة العربية السعودية",http://heathrowtravelcentre.co.uk/,0
تيك توك إسكيب رووم,ألعاب الهروب من الغرفة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g298547-d18313835-Reviews-Tick_Tock_Escape_Rooms-Dammam_Eastern_Province.html,50.078312,26.461594,+966 54 777 3877,"طريق الخليج 2nd Floor, Thuraya Commercial Center 2, الدمام المملكة العربية السعودية",http://ticktocksa.com,0
‪Istiqomah Tour&Travel‬,الرحلات النهارية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293993-d17803810-Reviews-Istiqomah_Tour_Travel-Mecca_Makkah_Province.html,,,+62 857-3503-5000,"‪Jl. Sunan Ampel Gg III No. 56 Selatan Masjid Agung Baitunnur Simpang Lima Kauman Pati‬, مكة المكرمة 59114 المملكة العربية السعودية",http://www.istiqomahtour.com,0
‪Peninsula Caravans Tour Operator‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d17470067-Reviews-Peninsula_Caravans_Tour_Operator-Jeddah_Makkah_Province.html,,,+966 53 262 2200,"‪6463 Sulayyman Alhalbi‬ Alsalamh-2826, جدة 23436 المملكة العربية السعودية",http://www.peninsulacaravans.com,0
‪Alhijaz Indowisata Travel‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293993-d17734506-Reviews-Alhijaz_Indowisata_Travel-Mecca_Makkah_Province.html,,,+62 811-1341-212,"‪Dewi Sartika No. 239 Jakarta Timur‬ Floor 3, مكة المكرمة 13630 المملكة العربية السعودية",https://alhijaz-indowisata.com,0
‪Saudi Seasons‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g298551-d17586512-Reviews-Saudi_Seasons-Medina_Al_Madinah_Province.html,39.55759,24.32594,+966 54 555 8450,"‪Prophate Mosque‬, المدينة المنورة 31264 المملكة العربية السعودية",http://www.saudiseasons.com,0
‪Skyline Vision Sport Center‬,ملاعب,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d17990692-Reviews-Skyline_Vision_Sport_Center-Jeddah_Makkah_Province.html,39.25475,21.520016,+966 50 565 3704,"‪Arif Hikmat‬, جدة 23241 المملكة العربية السعودية",http://www.skylinevision.org/,0
‪Meneur‬,متاجر الهدايا والسلع المتخصصة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d19140315-Reviews-Meneur-Riyadh_Riyadh_Province.html,46.65937,24.7972,+966 55 510 3982,"‪Anas Ibn Malik Rd‬, الرياض المملكة العربية السعودية",http://www.meneur.net,0
‪Mona Althagafi‬,الرحلات النهارية,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d17581810-Reviews-Mona_Althagafi-Riyadh_Riyadh_Province.html,,,,الرياض المملكة العربية السعودية,,0
‪Route Zone‬,مراكز ترفيه وألعاب,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d17728212-Reviews-Route_Zone-Jeddah_Makkah_Province.html,39.129314,21.58375,+966 12 275 3511,"‪7216 Ahmed Alattas - ALZahra‬, جدة 23425 المملكة العربية السعودية",http://routeksa.com,0
‪İkbal Turizm‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293993-d17461414-Reviews-Ikbal_Turizm-Mecca_Makkah_Province.html,28.94499,41.01817,+90 212 523 30 30,"‪Akşemsettin Mah. Akdeniz Cad. No:30 Kat:2 Fatih‬, مكة المكرمة 34080 المملكة العربية السعودية",http://www.ikbalturizm.com,0
‪Peninsula Caravans Tour Operator‬,جولات لعدة أيام,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g295419-d17595537-Reviews-Peninsula_Caravans_Tour_Operator-Jeddah_Makkah_Province.html,,,+966 53 262 2200,"‪6463 Sulayyman Alhalbi‬ Alsalamh-2826, جدة 23436 المملكة العربية السعودية",http://www.peninsulacaravans.com,0
مهمة الهروب,ألعاب الهروب من الغرفة,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g293995-d16824766-Reviews-Escape_Mission-Riyadh_Riyadh_Province.html,46.575787,24.637173,+966 50 111 0305,"12565 الرمال، ظهرة لبن،, الرياض المملكة العربية السعودية",http://www.escapemission.sa.com,0
,مراكز تسوق,,,,,,,,https://ar.tripadvisor.com/Attraction_Review-g298545-d26797036-Reviews-Tamimi_Markets-Al_Khobar_Eastern_Province.html,50.222565,26.300459,+966 13 813 5100,"‪Corniche Road & Prince Turkey Street‬, الخبر 34427 المملكة العربية السعودية",https://www.tamimimarkets.com/,2
